

<++++Let's have some FUN++++>
P00015731A0090|72 85|acetazolamide
P08561897A0604|87 90|Sp1
P08565548A0196|98 106|collagen
P08566773A1023|25 29|CTS2
P08575614A0264|73 80|protein
P08575754T0000|94 103|inhibitor
P08576245A0000|143 150|glucose
P08576245A0000|93 100|protein
P08580671A0137|59 69|metoprolol
P08585994A0567|154 157|arm
P08586643A0951|83 86|UMP
P08598449A0784|243 250|protein
P08598449A0784|302 305|CA2
P08599946A0999|109 110|s
P08605705A0676|48 51|CIC
P08608126A0811|201 205|acid
P08608126A0811|113 114|d
P08608126A0811|27 31|acid
P08611280A0820|116 117|p
P08611280A0820|246 247|p
P08615025A1214|405 408|CD4
P08617216A0584|64 71|protein
P08617243A0336|25 32|protein
P08618433A0000|70 76|ligand
P08619866A0000|44 47|HGF
P08620003T0000|72 76|step
P08621017A1186|64 71|phorbol
P08621628A1233|59 68|inhibitor
P08621659A0189|0 4|Gas6
P08621714A0361|64 75|thiol group
P08621730T0000|86 92|COL1A2
P08622645A1026|17 20|VDR
P08622668A1155|195 202|protein
P08622675A0587|66 73|protein
P08625900T0000|39 50|polypeptide
P08625900T0000|214 221|hormone
P08626596A0000|85 89|role
P08627649A0734|239 242|Sp3
P08627649A0734|231 234|Sp1
P08627649A0734|109 110|s
P08627719A0784|178 182|poly
P08628260A0895|133 143|nucleotide
P08631760A0609|50 53|Crk
P08631958T0000|97 100|p53
P08634697A1155|92 97|Brca1
P08636124A0410|5 12|protein
P08636149A0220|67 74|insulin
P08636149A0220|149 156|insulin
P08637717A0817|77 84|peptide
P08637717A1231|101 108|peptide
P08637717A1231|61 65|PCNA
P08639561T0000|197 198|S
P08641705A0986|61 62|A
P08642282A1009|134 142|molecule
P08642285A1548|120 125|STAT1
P08643513A0361|166 168|nt
P08643633A1187|62 66|CBF1
P08647086T0000|27 31|Cdk2
P08647802A0000|127 131|Grb2
P08647822T0000|9 13|role
P08647822T0000|104 112|coenzyme
P08648408A0792|121 126|group
P08649389A0000|163 170|protein
P08649389A0692|115 119|CTCF
P08649405T0000|0 3|Sp1
P08649424A0000|149 152|AMP
P08649427A0689|95 102|protein
P08654200A0274|189 199|antipyrine
P08654390A0000|85 95|biliverdin
P08654390A0000|107 122|carbon monoxide
P08654435A0540|22 32|wortmannin
P08654435A0540|92 102|wortmannin
P08654946A0475|4 6|aa
P08655497A0000|50 53|min
P08661101A0396|54 61|protein
P08661114A0564|65 68|SIM
P08662193A0404|142 146|NIT4
P08662617A2051|79 86|protein
P08662789A0673|98 104|RPS30A
P08663172A0311|72 79|protein
P08663310A0157|9 12|SRF
P08663326A0000|136 143|phenols
P08666398T0000|52 56|CLN3
P08666404A0311|181 186|PPP5C
P08668158A0765|264 268|RPM1
P08668210A0000|41 45|role
P08669676A1644|160 161|P
P08669676A1644|59 67|propofol
P08669676A1644|123 131|propofol
P08680702A0548|237 238|p
P08680702A0548|76 81|group
P08680702A0548|416 417|p
P08680706A0889|8 9|h
P08691962T0000|8 12|role
P08698756A1240|93 97|role
P08702543A0000|0 4|Gap1
P08702633A0164|117 120|Shc
P08708984T0000|31 43|indomethacin
P08709637A1471|129 133|role
P08710377A0577|0 3|Cbl
P08711631A0989|29 39|prednisone
P08719155A0105|304 306|CS
P08719155A0105|308 315|protein
P08719155A0105|246 250|TRAP
P08719156A0953|104 111|protein
P08722011A0103|107 114|protein
P08732665A0000|308 311|EGF
P08733123A0000|176 179|arm
P08739209A0700|160 161|h
P08740416A0919|50 57|protein
P08742135A0000|162 164|CS
P08749393A0783|28 35|protein
P08750173A0000|150 165|D-galactosamine
P08754777A1214|141 143|dn
P08754802T0000|115 119|role
P08754852A0960|84 91|protein
P08756556A0406|26 33|protein
P08756712A0227|75 78|RPA
P08763207A0402|143 154|clenbuterol
P08766049A0000|183 185|ml
P08774732A0271|16 19|Sp1
P08776901A0000|21 24|chm
P08784787A0383|33 37|PAR2
P08789441A0339|171 172|t
P08794339A1162|152 159|protein
P08794363A0259|20 24|bZIP
P08794601A0000|38 52|clarithromycin
P08798443A0660|146 149|Myb
P08798443A1218|142 148|serine
P08798610A0843|0 4|PIP2
P08798635A0870|83 87|ARF5
P08798635A0870|77 81|ARF3
P08798643T0000|80 83|Cbl
P08798782A0976|0 3|Lck
P08808707A0631|133 136|Jun
P08810278A0682|180 184|CRKL
P08812490A1509|95 98|MIP
P08816452A0936|90 97|protein
P08816453A0000|24 27|AMP
P08816461A0892|54 61|protein
P08816482A0234|50 56|Stat5b
P08816482A0234|39 45|Stat5a
P08816483A0869|41 45|RIC3
P08816792A0000|66 73|protein
P08823163T0000|161 170|phosphate
P08824798A0761|125 132|protein
P08825554A0000|17 20|TTP
P08831364A1252|65 74|adenosine
P08831364A1252|162 171|adenosine
P08832146A0959|118 119|p
P08832146A0959|81 82|p
P08833653A0783|33 40|insulin
P08833653A0783|9 14|isl-1
P08836740A1025|8 12|CES1
P08837503A0392|136 141|group
P08838314A0129|200 206|AVPR1A
P08840501A0345|95 99|ACT4
P08842143A0000|98 100|bv
P08842143A0000|122 129|cluster
P08844712A0000|55 56|A
P08844712A0000|164 172|urethane
P08846775A0110|139 143|CLN2
P08846775A0110|131 135|CLN1
P08848052A0733|69 72|Rev
P08849778A0598|71 74|tap
P08853303A0431|249 252|min
P08853303A0431|150 153|min
P08856132T0000|27 31|role
P08858211A0694|120 123|GTP
P08861955A0927|218 221|Ran
P08864219A0178|48 60|ketoconazole
P08864219A0178|62 72|miconazole
P08864219A0178|105 119|amphotericin B
P08868473A1287|43 47|role
P08868954A0648|142 153|angiotensin
P08871635A0000|25 28|BCR
P08872162A0884|67 70|CD4
P08876167A0717|206 209|CDP
P08878045A0606|66 69|CTD
P08879080A0265|53 56|fit
P08879237A0744|136 137|R
P08882492A0000|74 78|role
P08887659A0753|51 60|threonine
P08887659A0753|36 42|serine
P08892755A0186|67 71|JAK1
P08892755A0981|85 88|CAT
P08893779A0229|254 255|p
P08893779A0229|112 113|p
P08895579A0583|41 45|MDM2
P08896272A0000|49 52|arm
P08896402A0587|185 186|N
P08896804A0000|78 92|benzodiazepine
P08896804A0000|391 400|saccharin
P08897721A0000|106 111|group
P08898365A0274|32 39|protein
P08902214A1486|59 62|PRL
P08914388A1645|160 173|ciprofloxacin
P08914388A1645|23 24|H
P08914388A1645|182 194|levofloxacin
P08915508A0000|286 294|protease
P08917435A0481|13 17|role
P08918456A0455|99 107|arginine
P08918456A0455|65 73|tyrosine
P08918456A0455|130 137|leucine
P08918934A0424|88 92|NTF2
P08919986A1262|90 94|drug
P08921387A1182|66 70|EZH1
P08922390A2076|225 232|protein
P08922391A0304|111 118|protein
P08923469A1391|140 143|VDR
P08933487A0325|29 30|W
P08933487A0325|60 63|run
P08937989A1365|44 45|N
P08938420A0862|175 183|mannitol
P08939891A0285|122 125|Nrl
P08940132A1120|210 218|protease
P08940134A0705|104 107|Cas
P08946668A0077|42 55|cyclosporin A
P08950352A0525|188 189|p
P08951815A0465|14 18|ASN1
P08952965A1182|251 255|CDR1
P08955306A0224|112 116|ORF1
P08955928A0390|115 116|h
P08958720A1204|99 101|CO
P08959778A0292|98 101|EGF
P08969495A0256|209 213|role
P08970951A0823|62 69|antigen
P08970984A0765|85 88|SRF
P08972182A0527|0 3|Fas
P08973917T0000|95 99|PWP2
P08974135A0052|19 27|thiamine
P08977235A0134|60 64|JAK1
P08977235A0588|135 140|STAT3
P08978690A0262|49 56|protein
P08980413A0500|4 7|P13
P08980522A0280|43 50|protein
P08980533A1160|67 74|protein
P08985115A1571|92 96|step
P08986692A0306|13 14|S
P08986812A1214|17 20|p53
P08987009A0400|14 18|role
P08987225A0675|198 201|ACT
P08990168A0688|70 75|STAT1
P08990168A0688|44 49|STAT1
P08990397A1437|85 88|H13
P08992115A0199|147 156|serotonin
P08994968A0926|14 17|arm
P08995410A0000|125 128|Met
P08995410A1109|158 161|p47
P08997532A0116|110 113|TES
P09000049A1341|69 72|Myc
P09000049A1341|20 23|Max
P09002648A0202|10 19|inhibitor
P09003410A0000|98 105|antigen
P09006010A0527|164 171|protein
P09006010A0527|53 63|amino acid
P09006010A0527|121 131|amino acid
P09006935A0590|0 3|Sp1
P09006936T0000|46 53|protein
P09010223A0667|35 39|ELK1
P09010223A0667|64 68|ETS1
P09010223A0667|131 134|SRF
P09010223A1850|48 51|SRF
P09011744A0790|132 138|Grin2c
P09011744A0790|92 98|Grin2a
P09012636A0723|26 37|cholesterol
P09013499A0198|151 154|min
P09018122A1389|113 117|role
P09020138A0833|106 114|tyrosine
P09020169A0552|68 71|AHR
P09020169A0552|9 13|SIM2
P09023378A0959|24 28|CBF1
P09024039A0247|83 84|h
P09029159A0000|4 14|interferon
P09029159A0000|104 108|role
P09030581A0990|31 36|MKP-4
P09032259A0972|39 42|SRF
P09034337A0251|67 75|tyrosine
P09043768A0139|35 38|BLM
P09046013A0000|170 173|min
P09046013A0000|71 94|calcium channel blocker
P09046384A0403|54 57|CD4
P09047344A0000|19 26|peptide
P09049270A0488|43 44|B
P09049270A0488|31 32|A
P09049304A1193|31 35|AP-2
P09049306A0830|70 73|arm
P09050849A0000|15 22|protein
P09050861A0903|38 41|DEK
P09053494A0612|82 92|paclitaxel
P09057648A0422|206 209|CAT
P09057840A0946|16 23|protein
P09058378A1134|120 123|p53
P09059039A0850|284 294|papaverine
P09060622A1679|84 85|A
P09060622A1679|79 83|poly
P09060971A0982|191 192|p
P09065170A0853|16 26|zidovudine
P09065463A1012|77 80|RPA
P09067577A0307|38 42|CRKL
P09067577A0721|85 88|C3G
P09071407T0000|12 20|oxytocin
P09079638A0883|184 190|ligand
P09079638A0883|28 33|CXCR2
P09087430A1046|75 78|PAP
P09089653A0615|47 49|nt
P09090054A0186|84 92|permease
P09092675A0283|50 51|A
P09098899A0000|14 15|B
P09099745A1446|139 143|Cdk2
P09099745A1446|352 356|Cdk2
P09099745A1446|159 168|threonine
P09104816A0610|119 121|VV
P09108279A0431|176 184|cytosine
P09111004A0732|209 213|role
P09111309A0674|164 166|ER
P09112400A1155|58 67|forskolin
P09115242A0934|79 83|role
P09115247A2069|249 260|amino group
P09115247A2069|312 321|imidazole
P09119112A1350|48 54|GATA-5
P09119391A0870|30 37|protein
P09121430A0132|117 125|tyrosine
P09121430A0132|90 94|Grb2
P09121432A0000|35 42|protein
P09121433A0463|138 142|SMP1
P09121433A0463|112 116|MEF2
P09123787A0486|130 134|side
P09132011A0298|111 118|protein
P09132057A0559|29 32|NTS
P09132061A0828|133 143|peroxidase
P09135928A0912|170 171|P
P09135928A0912|22 23|P
P09139737A0000|274 285|cholesterol
P09142146A0887|193 194|p
P09144165A0614|50 54|NFAT
P09150595A0225|51 53|HR
P09150774A0616|31 41|isoflurane
P09151152A0174|184 185|p
P09151152A0174|174 175|p
P09151152A0174|63 64|p
P09153319A0844|85 92|ethanol
P09153319A0844|112 117|water
P09154283A0307|127 140|acetazolamide
P09160361A0858|54 59|group
P09160361A0858|133 134|p
P09165035A0842|185 186|D
P09167421A0234|105 107|Gy
P09168083A0987|37 38|P
P09169852A0235|220 228|tyrosine
P09170159A0348|89 99|tyrosinase
P09171239A2146|31 37|ligand
P09171969A1165|172 176|COPD
P09178752A0574|0 3|EGF
P09182707A0254|0 3|SPP
P09182990A0245|175 179|eRF1
P09182990A0245|44 49|SUP45
P09186056A0514|39 46|protein
P09192786T0000|70 71|b
P09192998A0356|199 202|PTH
P09197408A0126|161 168|leucine
P09200811T0000|62 69|protein
P09202147A0866|70 73|UBC
P09203586A1197|101 105|step
P09205965A1249|90 96|L-dopa
P09209312A0968|174 176|nt
P09209312A0968|63 65|nt
P09209312A0968|164 166|nt
P09211913A0000|211 217|CYP1A1
P09211981A0526|211 215|cdc2
P09215891A0000|51 55|CIN2
P09218520A0075|109 111|cd
P09222057A0176|37 40|PDF
P09224811A0000|70 75|NADPH
P09226345A0436|75 76|p
P09227332A1798|12 15|DDC
P09229595A0618|59 67|electron
P09230129A0039|165 169|lack
P09234703A0192|68 73|Cdc42
P09234717A0000|252 256|role
P09236656A0124|101 102|L
P09238467A0763|32 43|propranolol
P09241232A1154|50 64|lysine residue
P09246343T0000|23 26|man
P09252406A0511|58 62|Grb2
P09254678A0106|227 230|MBP
P09255349A0836|62 66|IRA1
P09263856A0563|43 46|Gla
P09265932A0575|37 48|bupivacaine
P09268631A0316|96 101|Igf2r
P09272138A1153|176 177|P
P09277629A0268|17 18|N
P09279379A0310|47 51|acid
P09279889A1124|15 19|drug
P09280747A0195|49 69|isosorbide dinitrate
P09282985A0961|38 39|p
P09285715A1257|43 46|Rev
P09287362A0589|48 51|csk
P09294453A0949|85 89|role
P09294471A1198|138 141|fit
P09300697A0000|33 41|protease
P09305755A0540|230 233|AP2
P09305755A0540|73 80|protein
P09305755A0540|105 108|NF1
P09305755A0540|82 85|Sp1
P09308234A0225|0 3|Mnt
P09309457A0680|105 114|estradiol
P09309457A0680|16 27|cholesterol
P09309457A0680|88 99|lipoprotein
P09311568A0595|55 56|S
P09311568A0595|57 58|A
P09312087A0000|91 102|phosphatase
P09315631A1064|153 161|glycerol
P09315631A1064|101 105|POR1
P09315632A1137|207 211|role
P09315632A1137|173 178|FGFR3
P09317131A1332|99 104|STAT6
P09321930A0567|73 78|BRCA1
P09321930A0567|58 61|DCC
P09321930A0567|63 66|APC
P09323366A0000|26 30|MLS1
P09324922T0065|96 100|acid
P09324988X0000|28 31|ras
P09325135A0737|87 94|protein
P09326317A0372|84 88|EXT1
P09331864A0230|53 54|d
P09331864A0230|264 267|MGA
P09331864A0230|182 185|MGA
P09331864A0848|69 70|d
P09331864A0848|97 100|MGA
P09333026A0397|25 28|brk
P09334475A0327|312 313|h
P09334475A0327|211 214|min
P09335608T0000|96 102|myosin
P09335619A0583|210 214|atp9
P09339900A0939|168 171|Sp1
P09339900A0939|146 149|AP2
P09340641T0001|10 17|alcohol
P09341158A0167|46 49|mu2
P09343222A0415|93 100|protein
P09343432A0209|4 7|Scm
P09343433A0360|98 102|ADE2
P09346925A0660|19 23|Grb2
P09346935A0459|79 84|ZNF74
P09351242A0719|171 184|cycloheximide
P09352127A0953|86 87|P
P09353247A0922|140 149|inhibitor
P09353343A0919|83 84|U
P09353343A0919|78 82|poly
P09354644A0124|120 123|Gal
P09358069T0000|70 73|EPO
P09362105X0422|32 35|PVR
P09363759A0000|37 41|role
P09364750T0000|40 45|SUP45
P09365272T0000|20 27|protein
P09366456A0234|74 79|group
P09366517A0835|151 154|WT1
P09366517A1828|61 64|WT1
P09366628T0000|0 2|Re
P09367426A1354|34 36|hh
P09367676A1115|55 61|Tbxas1
P09368097T0000|4 7|pen
P09368419A0628|124 129|probe
P09369453A0273|47 50|BAD
P09371566A1384|154 161|protein
P09371566A1384|5 12|protein
P09371626A1345|143 146|VP2
P09371626A1345|179 186|protein
P09371626A1345|134 138|role
P09373651A0255|102 118|hydrogen cyanide
P09376626A0737|86 87|h
P09380504A1255|160 161|h
P09382886A1061|145 148|p53
P09382886A1061|61 64|PKD
P09382924A0131|142 148|PSMB10
P09382924A0131|252 257|PSMB6
P09382924A0131|270 275|PSMB7
P09388271A1243|115 122|protein
P09389669A1009|6 9|dpp
P09393771A1659|128 135|protein
P09395456A0424|13 17|role
P09396437A0878|125 126|P
P09398855A0438|7 8|D
P09398855A0438|293 296|p53
P09405685A0113|57 60|p53
P09407026A0426|307 312|nuc-1
P09407026A0426|95 100|nuc-1
P09409774A0214|218 229|polypeptide
P09417493A0823|113 120|protein
P09418871A0620|32 36|E2F1
P09420269A0000|79 81|nt
P09420275A1111|31 35|CBF2
P09420671A1190|145 157|dipyridamole
P09421516A1516|18 23|decay
P09423310A0251|136 140|CD34
P09423968A0039|166 170|pain
P09425036A0649|72 75|Lck
P09426143A1358|66 69|CRP
P09426595T0000|21 30|reductase
P09426907A0391|96 101|water
P09427627A0930|27 34|protein
P09427627A0930|123 126|S6k
P09427627T0000|70 74|role
P09428389A1805|35 47|bicalutamide
P09428389A1805|209 213|drug
P09430461A0742|202 203|r
P09430461A0742|288 293|group
P09430461A0742|113 114|p
P09434160A2078|14 19|PTPRO
P09435056A0128|55 58|Cys
P09435789A0961a|99 110|hydroxyurea
P09435789A0961a|9 14|RAD17
P09435789A0961a|26 30|MEC3
P09438427A0727|15 19|role
P09440166A0857|204 208|poly
P09441746A0546|66 71|GPR39
P09442080A0856|184 187|GHR
P09446600A0260|64 67|Ahr
P09447962A1027|54 58|XRN1
P09447963A0223|64 68|SC35
P09447994A0000|129 132|AMP
P09448268A0186|25 28|Nlk
P09451003A0894|50 57|protein
P09451016A1037|155 162|glucose
P09452421A1042|59 66|protein
P09458021A1373|7 8|P
P09461594A0000|120 128|tyrosine
P09463380A1050|89 94|Smad1
P09465035A1032|21 22|s
P09465035A1032|11 20|inhibitor
P09468515A0621|52 62|nucleotide
P09469415A1337|54 61|peptide
P09474001A0825|129 130|p
P09474648A0298|77 80|Paf
P09480843A0848|96 106|nucleotide
P09482107A0551|62 65|C3G
P09486531A0638|129 133|role
P09488441A0615|0 3|Sp1
P09488441A0615|138 141|Sp1
P09488486A0000|21 28|protein
P09488486A0000|54 58|role
P09488486A0000|30 33|TBP
P09488486A0906|138 141|Pol
P09490676A0800|36 39|Myb
P09495283A0000|113 117|HSF1
P09495283A0000|122 126|HSF2
P09498553T0000|39 45|sterol
P09501093A0071|116 120|role
P09501093A0071|36 43|protein
P09501982A1178|38 42|role
P09502627A0705|97 98|p
P09502627A0705|218 219|p
P09506962A1000|118 121|YY1
P09506962A1000|46 53|calpain
P09508511A0588|77 79|os
P09515924A0104|9 10|g
P09519757A0482|160 164|SUR1
P09519830A0282|34 38|role
P09524222A0769|77 87|amino acid
P09524229A0000|186 191|group
P09525891T0000|105 109|CRS1
P09530251A0766|32 33|h
P09531549A0658|168 173|actin
P09531559A1153|64 71|protein
P09533030T0000|196 200|SDHD
P09533030T0000|55 69|oxidoreductase
P09533030T0000|179 183|SDHC
P09533109A0449|207 208|p
P09533109A0449|23 35|theophylline
P09536028A0945|51 55|acid
P09537295T0000|25 33|androgen
P09543227A0815|75 76|B
P09545312A1197|76 80|role
P09549179A0774|16 28|testosterone
P09551182A0212|160 166|ligand
P09552469A0225|24 33|piroxicam
P09552469A0225|210 217|mixture
P09553040A0651|17 20|Epo
P09553686A0000|32 41|estradiol
P09553686A0000|202 207|patch
P09553686A0000|180 189|estradiol
P09556561A0671|190 198|molecule
P09556561A0671|75 80|group
P09556573A1062|84 88|acid
P09565584A0770|186 187|H
P09572491A1044|82 85|p53
P09572491A1044|111 118|alanine
P09573202A0900|97 104|glycine
P09575187A1558|11 15|role
P09575217A0971|88 92|Jak2
P09580062A0100|48 64|cyclophosphamide
P09583823A0238|23 27|pigs
P09584180A0701|90 95|Stat6
P09584194A0000|11 14|Cas
P09603345A1257|106 111|group
P09609342A0000|65 68|CFP
P09609720A0357|146 153|protein
P09609720A0357|46 47|N
P09611229A1664|38 42|FAS1
P09617765A0174|127 131|poly
P09617807A0929|123 126|pea
P09618150A0127|217 218|h
P09618150A0127|179 180|h
P09618150A1464|13 20|insulin
P09618475A0747|111 115|Nrd1
P09618481T0000|99 102|Sp1
P09619631A0344|54 61|protein
P09621372A0369|74 77|CRP
P09626662A1076|175 181|ligand
P09632217A0477|204 211|cocaine
P09632709A0464|56 63|protein
P09632785A0000|122 126|role
P09633630A0740|126 128|Ps
P09636708A0460|118 125|protein
P09638342T0000|12 16|role
P09638485A0111|12 19|benzene
P09638650A0169|168 172|ORF1
P09638650A0169|127 128|r
P09639074A0707|0 3|Sp1
P09642214A0244|30 34|role
P09642227A0000|66 81|keratan sulfate
P09642238A1285|71 74|Sp1
P09642276A0881|59 63|role
P09645942A1164|56 58|8S
P09647240A0000|17 20|p53
P09647240A0000|203 206|p53
P09649501A0358|169 174|HSBP1
P09650403A0868|91 96|group
P09651375T0000|33 38|RGS12
P09652736A1205|55 58|p53
P09652742A0455|38 41|p53
P09655916A0415|124 133|histidine
P09658405A0000|25 32|protein
P09669641A0425|60 67|amylase
P09670943T0000|25 28|BCR
P09671464A0316|9 13|SNF1
P09671464A0316|104 111|glucose
P09671496A0557|24 28|role
P09677410A1059|66 70|role
P09677410A1059|44 47|p53
P09679066A1352|57 64|protein
P09692965A0904|5 13|cysteine
P09693035T0000|6 10|ULK1
P09694514A0000|74 83|G-protein
P09694869A0932|114 119|Stat3
P09698457A0976|128 135|protein
P09698457A0976|11 18|protein
P09703021A0000|259 263|step
P09703816A0139|11 20|cisplatin
P09703816A0139|31 42|doxorubicin
P09704006A0224|106 110|acid
P09705324A0213|143 150|protein
P09705324A1602|284 286|AR
P09706565A1072|44 47|min
P09710615T0000|22 30|molecule
P09712898A0911|87 90|GCK
P09712898A0911|6 11|TRAF2
P09712898T0000|74 77|Jun
P09712915A0672|133 136|Sp3
P09712919A0307|84 85|s
P09713996A0262|18 22|MDR1
P09716183A1036|180 183|TBP
P09718671A0000|30 33|AIS
P09724654A0761|130 133|RPA
P09724654A1120|114 117|RPA
P09727046A0000|189 192|Lam
P09727046A0000|43 50|protein
P09730413A0642|62 66|role
P09733493A0493|58 67|melatonin
P09735371A0227|113 118|mec-3
P09736239A0436|159 160|p
P09736697A0783|36 40|MEK1
P09736697A1107|207 211|Jak2
P09736697A1107|224 229|Stat3
P09736715A0729|183 186|ILK
P09736715A0729|13 33|phosphatidylinositol
P09736770A0351|129 132|Sp1
P09738010A0305|37 44|insulin
P09741783A0000|101 108|acetate
P09741783A0000|25 44|aromatase inhibitor
P09745797A0943|45 49|pain
P09751114A1987|56 60|role
P09753241A0524|107 110|MPO
P09755191A0553|168 172|CHC1
P09755199A0373|49 52|Scm
P09755199A0559|129 132|Scm
P09759865A0673|197 206|inhibitor
P09761791A0489|19 25|U1-70K
P09763470A1756|153 156|Sp1
P09763470A1756|144 147|AP2
P09763470A1756|47 51|role
P09765261A0000|146 153|protein
P09765271A1108|133 140|insulin
P09765388T0000|16 19|p53
P09767504A1371|79 80|h
P09769910A1700|58 61|TNF
P09770493A0499|3 7|PP2A
P09771985A0238|127 138|glutathione
P09773975A1873|321 324|min
P09773975A1873|255 258|min
P09774450A0000|99 113|leukotriene C4
P09774450A0000|124 138|leukotriene D4
P09776293A0777|110 112|ml
P09776360A1781|123 131|effector
P09778006A0718|55 69|carbon dioxide
P09778006A0718|242 244|cm
P09778197A0415|345 356|cholesterol
P09781874A1061|40 47|guanine
P09786404A0541|34 35|P
P09786926A0095|156 159|FAS
P09789025A0149|59 62|SRF
P09789795A0607|50 63|noradrenaline
P09790986A0689|142 148|NRAMP2
P09794414T0000|4 8|role
P09794795A0183|368 372|SHP2
P09794795A0183|287 292|STAT1
P09798100A0705|75 77|IM
P09799086A0725|136 138|Gs
P09799793T0000|114 117|EPO
P09800187A0100|8 13|Trp53
P09801156A0220|84 92|ecdysone
P09802206A1058|113 117|RPS7
P09802206A1058|57 60|TEF
P09804779A1163|209 215|Stat5a
P09806857A0854|33 40|protein
P09808366A0828|130 134|side
P09813041A1122|56 59|Jun
P09817190A0074|20 33|cyclosporin A
P09819038A0448|98 99|h
P09821978A1255|78 80|SE
P09822602A1172|77 80|CBP
P09822825A0141|34 38|BAP2
P09823775A1122|61 69|cofactor
P09826434T0000|83 88|PDE3A
P09827878A0091|85 89|role
P09832436T0000|87 90|PRL
P09832504A0596|52 55|Tat
P09834070A0793|208 212|CD19
P09835615A0574|51 58|protein
P09837715A0581|111 114|CAT
P09837913A0000|56 65|thyroxine
P09837933T0000|100 113|monooxygenase
P09838122A0489|78 82|MPP3
P09843572A0944|149 153|Wee1
P09844106A0835|49 52|FLG
P09845662A0085|46 50|lack
P09849965A0000|67 71|role
P09849965A0000|75 81|ligand
P09852068A0150b|10 14|SHBG
P09852109A1475|255 259|role
P09852136A0174|171 178|protein
P09856732A0114|100 109|lidocaine
P09857197A0289|96 99|NES
P09858577A1186|160 168|effector
P09858581A0183|149 151|Ts
P09860979A0521|19 22|Cas
P09860979A0521|25 28|Cas
P09860979A0521|147 150|Crk
P09861099A1011|110 111|r
P09861099A1011|77 78|r
P09861099A1011|85 86|P
P09864141A0528|15 20|Stat3
P09878542A1151|88 91|VDR
P09880029A0703|48 51|Rep
P09881692A0094|57 59|b6
P09881692A1109|103 105|b6
P09882303A1413|0 5|TRAF2
P09882303A1413|33 38|TRADD
P09882303A1984|37 42|TRADD
P09882303A1984|28 32|role
P09882303T0000|136 141|TRADD
P09882303T0000|146 151|TRAF2
P09882334A0822|166 182|tyrosine residue
P09882451A0195|109 114|HEM15
P09883639A0000|62 65|NTM
P09886843A0339|118 122|NRGN
P09886843A0339|55 70|thyroid hormone
P09887544A0000|97 101|drug
P09892736A0343|166 170|ORC1
P09893913A0656|94 104|atracurium
P09914500A0000|204 207|TNF
P09914518A1217|128 130|ER
P09914525A0890|39 41|tm
P09915860A0119|6 10|role
P09916809A0405|6 9|MGP
P09916809A0405|57 64|protein
P09918715A1158|95 98|TBP
P09918720A0998|184 191|adenine
P09918720A0998|87 91|base
P09920896A1230|137 144|protein
P09921179T0001|4 8|role
P09922856A0459|57 62|patch
P09927449A0421|18 22|POG1
P09945838T0000|51 53|Ga
P09949160A0600|238 241|Epo
P09971776A0838|209 218|dipeptide
P09971790A0856|125 132|protein
P09971822A1542|33 37|role
P09990315A0205|0 3|TPO
P09990315A0205|78 81|TPO
P09990507A0763|55 59|Pop2
P09999742T0000|28 30|Si
P10007564T0000|61 62|W
P10022032A0000|168 171|ATN
P10022032A0000|158 166|atenolol
P10022858A0985|106 113|protein
P10022880A0000|151 155|role
P10025050A1052|31 41|antagonist
P10026211A0136|61 68|protein
P10026824A0309|279 281|Gs
P10027498A0536|122 123|p
P10029337A0406|188 189|U
P10036191A0000|124 128|TFE3
P10037378A0176|66 75|lidocaine
P10037681A0494|107 111|PLD1
P10049357A0608|72 75|Ski
P10049359A1073|12 15|unr
P10064604A0824|49 55|TFIIIA
P10065684A0916|310 311|p
P10065684A0916|130 133|mit
P10065684A0916|218 221|sar
P10066815T0000|26 34|inositol
P10068418A1194|99 109|raloxifene
P10068418A1194|151 159|estrogen
P10074135T0000|105 109|RNA1
P10074921A1169|85 88|p53
P10077188A1172|228 235|protein
P10085088A0918|71 75|role
P10085120A0000|90 99|hypericin
P10086544A0504|522 532|furosemide
P10086544A0504|300 307|lactate
P10087993A1352|78 81|BP2
P10090146T0000|124 128|AP-2
P10090535A1194|27 29|TG
P10090943A1426|135 136|P
P10095061A0592|116 123|protein
P10101198A0632|48 55|protein
P10193950A0478|66 68|T2
P10194762A0648|262 269|alanine
P10194762A0648|226 232|serine
P10194769A0146|173 180|protein
P10196248A0482|190 192|nt
P10196248A0482|160 167|stretch
P10198056A0000|110 113|GPI
P10202006A1266|236 240|role
P10202006A1266|190 196|ligand
P10205099A0377|164 176|itraconazole
P10209759T0000|29 32|min
P10211919A0846|35 36|p
P10215485A0837|117 119|NA
P10215811A0635|91 94|EVL
P10216052A1682|96 97|p
P10221467T0000|96 107|cabergoline
P10228009A0600|59 62|TNF
P10228009A0600|109 114|TRAF2
P10229084A0000|231 234|Fyn
P10231485A0342|107 114|cluster
P10232600T0000|18 25|antigen
P10318806A0000|33 40|protein
P10318806A0000|15 22|mitogen
P10318806A0918|12 20|tyrosine
P10318806A0918|187 194|protein
P10319955A0941|127 128|P
P10320177A0487|161 164|min
P10320177A0487|227 237|alfentanil
P10320177A0487|255 263|fentanyl
P10320480A0451|60 64|role
P10322629A0198|99 104|Pax-2
P10323225A0244|60 63|NAD
P10326654A0351|185 190|group
P10327051A0688|87 91|ATF2
P10329586A0414|15 26|fibronectin
P10334888A0960|36 41|group
P10341219A0481|113 120|protein
P10347197A0502|119 123|Grb2
P10348859A0292|95 98|ion
P10348859A0292|88 90|Hg
